カスタムリーダー,名前,ユーザ名,バトルタグ,参加形態,duoの場合の相方,,第一希望ロール,第二希望ロール,第三希望ロール,タンクのレート,ダメージのレート,サポートのレート,CS,インフルエンサー,配信NG,Aブロック,Bブロック,Cブロック,Dブロック
FALSE,GejixMayu31,gejixmayu31,GejixMayu31#1396,デュオ,SAMUELJONSON,FALSE,ダメージ,,,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,oreca,oreca08,Oreca08#3951,ソロ,,FALSE,タンク,,,3900,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,花瀬,花瀬#4025,花瀬#3543,ソロ,,FALSE,タンク,,,2900,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,あき,あき#8505,だっこしろ#3677,デュオ,絆創膏,FALSE,ダメージ,,,,2700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,れいり,re1ri,reiri#11393,デュオ,初乃桜冬,FALSE,サポート,,,,,3700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,yasetu1612.,yasetsu1612,YASETSU#3418,デュオ,はぁる,FALSE,サポート,,,,,1100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,あるシー,.arushii,あるシー＃3157,デュオ,わらくん,FALSE,タンク,,,3800,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,白瀬スイナ,sirasesuina,白瀬スイナ#1961,ソロ,,FALSE,ダメージ,,,,2000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,sora,ソロ,,FALSE,サポート,,,,,3400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,まる子,marugareeea,MARUCO#11581,ソロ,,FALSE,ダメージ,,,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ぎょーざみっくす,Gmix#9915,ぎょーざみっくす#3398,ソロ,,FALSE,サポート,,,,,3500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,NURIO#11626,nuri_nurio,NURIO#11626,ソロ,,FALSE,タンク,,,4500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,しのまる,shinomaru_inu,しのまる#3312,ソロ,,FALSE,サポート,,,,,2100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,かずまるしお,かずまるしお#1856,いきりるしお#1968,デュオ,はな,FALSE,タンク,,,1200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Toyozaurusu,toyozaurusu,Toyozaurusu#1335,ソロ,,FALSE,タンク,,,1100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,すすか,suzuca0215,柊すずか＃3431,ソロ,,FALSE,サポート,,,,,3900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ゆと,3745yuto,yuto3745#1309,ソロ,,FALSE,ダメージ,,,,2700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,まかろん,macarons_o,macarons#31435,ソロ,,FALSE,タンク,,,4200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,碧海まっちゃ,aomi_matcha,MATCHA#11890,デュオ,あさりボンゴレ,FALSE,ダメージ,,,,2000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ねこし,neko_pasta,ねこし#3240,ソロ,,FALSE,ダメージ,,,,3300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,朔夜ルナ,shakuyaruna,朔夜ルナ#3974,ソロ,,FALSE,ダメージ,,,,3800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,葱太ネギ尾,negitanegio,ねぎ#3342,ソロ,,FALSE,ダメージ,,,,2900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,けんじ,kenji87_,HIII#11860,ソロ,,FALSE,タンク,,,3000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,するめ,surume1280,するめ#3783,ソロ,,FALSE,タンク,,,2000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,AFY/ほねち,_hnty,Afy#11158,デュオ,,FALSE,ダメージ,,,,4200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,RMD,rmdmk.2,RMD#1870,ソロ,,FALSE,タンク,,,3300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Muutan,muutan,Muutan#11663,ソロ,,FALSE,ダメージ,,,,2000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,じゅんよん,_junnyeong,uunchi#3529,ソロ,,FALSE,ダメージ,,,,3600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,夜街ニアル,にある#6846,ﾆｱﾙ#1691,デュオ,かめのまる,FALSE,サポート,,,,,3500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ねこげ,xioner.,碧海#1951,ソロ,,FALSE,サポート,,,,,3100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,たこるふ,takoreaper,reaper#113868,デュオ,みっけ,FALSE,タンク,,,2000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,ななしくん,ソロ,,FALSE,サポート,,,,,4100,,,,,,,
FALSE,🍩マコレ🍩,do72,どーなつ2#3757,ソロ,,FALSE,タンク,,,1500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ゆちゃ　キャンセル,yutya_twitch,ゆちゃツイッチ#3405,デュオ,,FALSE,サポート,,,,,1600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,haru_,geek315,はる猫#3565,デュオ,ヤタさん,FALSE,サポート,,,,,2700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,jonnymiller,jonny_miller301,jonnymiller#1734,ソロ,,FALSE,ダメージ,,,,1900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,hoheeeeeeC,hoheeeeeec,hoheeeeeeC#3944,デュオ,mostnoob,FALSE,タンク,,,1100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,はり,hry__,Hry#11392,デュオ,Nina,FALSE,タンク,,,1100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,quanxi,quanxi99,Quanxi#31407,ソロ,,FALSE,タンク,,,4100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,OILSONG,oilsong,悪鬼羅刹オイソン#1803,デュオ,えびまよ,FALSE,タンク,,,2800,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,月音#1396,tukune.,月音#1396,ソロ,,FALSE,タンク,,,2700,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,桃山もか,monaka2146,ごりら女桃山もか#3452,デュオ,なりえつ,FALSE,ダメージ,,,,4200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,wagayume,wagayume,我夢#11976,ソロ,,FALSE,ダメージ,,,,2000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,初乃桜冬/ういの おと,uin.o_o.to,初乃桜冬#3505,デュオ,れいり,FALSE,サポート,,,,,3500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,みっけ,mikkemikke1213_60475,mikke1213#11355,デュオ,冥人たこふる,FALSE,サポート,,,,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,posiruru,posiruru,posiruru#3520,ソロ,,FALSE,ダメージ,,,,1800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,雪猫ゆのん,雪猫ゆのん#1305,雪猫ゆのん＃3533,ソロ,,FALSE,ダメージ,,,,4100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Dn,dn0317,Dn117#11916,ソロ,,FALSE,サポート,,,,,2600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,風谷響希（ちがうそうじゃない）,kazayahibiki,違うそうじゃない#3614,ソロ,,FALSE,ダメージ,,,,1000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,ＰＡＩＮ#1467,ソロ,,FALSE,ダメージ,,,,3800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,sugi,sugi081,sugi,ソロ,,FALSE,ダメージ,,,,3500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,FlowXo2960,flowxo2960,RYOUCHAN#3728,ソロ,,FALSE,タンク,,,1500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,猫飯てるや(ﾈｺﾏﾝﾏ ﾃﾙﾔ),cat_foodteruya,猫飯てるや#3336,ソロ,,FALSE,サポート,,,,,3100,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,おいたんずきっちん,oiタンクitchen,おいたんずきＶＴ#3402,ソロ,,FALSE,タンク,,,4100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,미야짱みや,nonomiyamiya,乃ノ宮みや#3719,ソロ,,FALSE,ダメージ,,,,1900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,すず🫧,szchazk,suzu#11790,デュオ,雪村レンゲ,FALSE,ダメージ,,,,1600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,山桜桃ユニ,yusurayuni,山桜桃ユニ#1616,デュオ,寝夢衣ねこ,FALSE,サポート,,,,,2400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,緑一色,ryu_i_so,緑一色#3454,ソロ,,FALSE,サポート,,,,,1300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,しいたけ ShiitakE#31279,shiitake07,ShiitakE#31279,ソロ,,FALSE,タンク,,,1700,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,さとみ☁,さとみ☁#6570,さとみ#3806,デュオ,タナボタ丸,FALSE,サポート,,,,,3700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,くりしゅー,_kusan,plasdamage#3746,デュオ,瓜,FALSE,サポート,,,,,3800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,iiTz_Tommy,tommy_tom_tommy,iiTzTommy#3536,デュオ,Kum4kun,FALSE,タンク,,,3700,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,iwayu,iwayu,iwayu#1372,ソロ,,FALSE,サポート,,,,,1800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ノナメ,noname774san,無明ノナメ#5955,ソロ,,FALSE,タンク,,,1600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,meltyy,.meltyy,めるてぃ#1950,ソロ,,FALSE,ダメージ,,,,2500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,唐揚げ,kara_0125,唐揚げ#3934 ,ソロ,,FALSE,ダメージ,,,,1800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,karintou,karintou#4704,KARINTOU#3477,デュオ,はたや,FALSE,サポート,,,,,1000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,クラッシャーみずき,crashermizuki,クラッシャー美月#3838,デュオ,まりまりまりん,FALSE,サポート,,,,,4400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,春ノゆめ,春ノ#0369,Ra1singHeart#1698,ソロ,,FALSE,サポート,,,,,4200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,kenchanow,kenchanow,kenchan#11110,ソロ,,FALSE,ダメージ,,,,1400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ねぷてゅぬ,nepsheep,NeP#11171,ソロ,,FALSE,サポート,,,,,4300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,シルビア/Sumankatta,rsylvia,Sumankatta#1308,ソロ,,FALSE,サポート,,,,,1500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,ITAK0#3298,ソロ,,FALSE,ダメージ,,,,2600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Most Noob,most_noob,MostNoob#11971,デュオ,歩兵C,FALSE,タンク,,,3400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,delave,delave,delave#1113,ソロ,,FALSE,サポート,,,,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,ぽぽ,ぽぽ#3875,ポポ#3608,デュオ,,FALSE,ダメージ,,,,3700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,カメ,らんでぶ〜#1116,カメ#11395,デュオ,にくしー,FALSE,タンク,,,2400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,Nayuta,nayuta0909,NayutaTTV#1495,デュオ,駄熊,FALSE,ダメージ,,,,3900,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,neginoko,neginoko,neginoko#1411,デュオ,くまの助,FALSE,ダメージ,,,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,saku,saku6774,saku#12953,ソロ,,FALSE,ダメージ,,,,3000,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ラビリアラグラス,lavirialagrasse,lara#31103,ソロ,,FALSE,タンク,,,2400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,saquya,saquya,saquya8,ソロ,,FALSE,ダメージ,,,,1600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
